reporting_date,portfolio,expected_losses
2013-06-30,auto,0.0135538
2013-07-31,auto,0.0107334
2013-08-31,auto,0.0135029
2013-09-30,auto,0.0135962
2013-10-31,auto,0.0080941
2013-11-30,auto,0.0105428
2013-12-31,auto,0.0081537
2014-01-31,auto,0.0140767
2014-02-28,auto,0.0142175
2014-03-31,auto,0.0141121
2014-04-30,auto,0.0083174
2014-05-31,auto,0.0112127
2014-06-30,auto,0.0082587
2014-07-31,auto,0.0082767
2014-08-31,auto,0.0114404
2014-09-30,auto,0.0085456
2014-10-31,auto,0.0083899
2014-11-30,auto,0.013694
2014-12-31,auto,0.0082821
2015-01-31,auto,0.0083559
2015-02-28,auto,0.0110646
2015-03-31,auto,0.0107214
2015-04-30,auto,0.013126
2015-05-31,auto,0.0075816
2015-06-30,auto,0.0098703
2015-07-31,auto,0.0073871
2015-08-31,auto,0.0073307
2015-09-30,auto,0.0097531
2015-10-31,auto,0.0072102
2015-11-30,auto,0.0070774
2015-12-31,auto,0.0071698
2016-01-31,auto,0.0121946
2016-02-29,auto,0.0096606
2016-03-31,auto,0.0096571
2016-04-30,auto,0.0093705
2016-05-31,auto,0.0117453
2016-06-30,auto,0.0093881
2016-07-31,auto,0.0070794
2016-08-31,auto,0.0093337
2016-09-30,auto,0.009424
2016-10-31,auto,0.0094526
2016-11-30,auto,0.0070883
2016-12-31,auto,0.0097974
2017-01-31,auto,0.0074042
2017-02-28,auto,0.0121336
2017-03-31,auto,0.0096063
2017-04-30,auto,0.0092789
2017-05-31,auto,0.0070275
2017-06-30,auto,0.0116462
2017-07-31,auto,0.0069886
2017-08-31,auto,0.0070268
2017-09-30,auto,0.0071369
2017-10-31,auto,0.0094525
2017-11-30,auto,0.0069508
2017-12-31,auto,0.0118912
2018-01-31,auto,0.0119692
2018-02-28,auto,0.0117987
2018-03-31,auto,0.0119754
2018-04-30,auto,0.0125115
2018-05-31,auto,0.010553
2018-06-30,auto,0.0135
2018-07-31,auto,0.0078
2018-08-31,auto,0.0075
2018-09-30,auto,0.0125
2018-10-31,auto,0.0069
2018-11-30,auto,0.0066
2018-12-31,auto,0.0115
2019-01-31,auto,0.0115
2019-02-28,auto,0.0115
2019-03-31,auto,0.011
2019-04-30,auto,0.0105
2019-05-31,auto,0.008
2019-06-30,auto,0.0076
2019-07-31,auto,0.0072
2019-08-31,auto,0.009
2019-09-30,auto,0.0054
2019-10-31,auto,0.0085
2019-11-30,auto,0.0085
2019-12-31,auto,0.0085
2020-01-31,auto,0.0085
2020-02-29,auto,0.008
2020-03-31,auto,0.006
2020-04-30,auto,0.006
2020-05-31,auto,0.0045
2020-06-30,auto,0.0042
2020-07-31,auto,0.0056
2020-08-31,auto,0.0042
2003-02-28,cc,0.027
2003-03-31,cc,0.027
2003-04-30,cc,0.02
2003-05-31,cc,0.025
2003-06-30,cc,0.0225
2003-07-31,cc,0.0175
2003-08-31,cc,0.0225
2003-09-30,cc,0.0156
2003-10-31,cc,0.0156
2003-11-30,cc,0.0182
2003-12-31,cc,0.0162
2004-01-31,cc,0.0224
2004-02-29,cc,0.0234
2004-03-31,cc,0.015
2004-04-30,cc,0.025
2004-05-31,cc,0.0192
2004-06-30,cc,0.0192
2004-07-31,cc,0.0144
2004-08-31,cc,0.024
2004-09-30,cc,0.0144
2004-10-31,cc,0.0168
2004-11-30,cc,0.02
2004-12-31,cc,0.0175
2005-01-31,cc,0.0182
2005-02-28,cc,0.0156
2005-03-31,cc,0.0156
2005-04-30,cc,0.02
2005-05-31,cc,0.0225
2005-06-30,cc,0.024
2005-07-31,cc,0.0221382
2005-08-31,cc,0.0174148
2005-09-30,cc,0.0256206
2005-10-31,cc,0.0205192
2005-11-30,cc,0.0155396
2005-12-31,cc,0.0178601
2006-01-31,cc,0.0185511
2006-02-28,cc,0.0245158
2006-03-31,cc,0.0245745
2006-04-30,cc,0.0157717
2006-05-31,cc,0.0266768
2006-06-30,cc,0.0160723
2006-07-31,cc,0.0215734
2006-08-31,cc,0.02807
2006-09-30,cc,0.0289306
2006-10-31,cc,0.0235161
2006-11-30,cc,0.027796
2006-12-31,cc,0.0298078
2007-01-31,cc,0.0287981
2007-02-28,cc,0.0301306
2007-03-31,cc,0.0308647
2007-04-30,cc,0.031881
2007-05-31,cc,0.0287008
2007-06-30,cc,0.029165
2007-07-31,cc,0.0338048
2007-08-31,cc,0.038683
2007-09-30,cc,0.0347568
2007-10-31,cc,0.0263159
2007-11-30,cc,0.0444454
2007-12-31,cc,0.0316366
2008-01-31,cc,0.0450037
2008-02-29,cc,0.0407895
2008-03-31,cc,0.0396
2008-04-30,cc,0.0344
2008-05-31,cc,0.0378
2008-06-30,cc,0.0252
2008-07-31,cc,0.0336
2008-08-31,cc,0.042
2008-09-30,cc,0.042
2008-10-31,cc,0.0254981
2008-11-30,cc,0.0253606
2008-12-31,cc,0.0433885
2009-01-31,cc,0.0401493
2009-02-28,cc,0.0444197
2009-03-31,cc,0.0299465
2009-04-30,cc,0.0422711
2009-05-31,cc,0.0245723
2009-06-30,cc,0.0324216
2009-07-31,cc,0.0280427
2009-08-31,cc,0.0401473
2009-09-30,cc,0.0278308
2009-10-31,cc,0.0275534
2009-11-30,cc,0.0385205
2009-12-31,cc,0.0383901
2010-01-31,cc,0.0267194
2010-02-28,cc,0.0373554
2010-03-31,cc,0.0295508
2010-04-30,cc,0.0211834
2010-05-31,cc,0.0306608
2010-06-30,cc,0.0331542
