Reporting_Date,Portfolio,Lender_Type,Insurance_Status,Dimension,Category,Total_Loan_Value_Originated
2020-06-30,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,
2020-06-30,mtg,Chartered Bank,Insured,Credit Score Range,No Score,
2020-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2020-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2020-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2020-03-31,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,244690000
2020-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2020-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
2020-03-31,mtg,Chartered Bank,Insured,Credit Score Range,No Score,867482000
2020-03-31,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,1833772000
2020-03-31,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,47150000
2020-03-31,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,933748000
2020-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
2020-03-31,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,3680854000
2020-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2019-12-31,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,74063000
2019-12-31,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,316728000
2019-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2019-12-31,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,1157197000
2019-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
2019-12-31,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,2174016000
2019-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2019-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
2019-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2019-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2019-12-31,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,4721802000
2019-12-31,mtg,Chartered Bank,Insured,Credit Score Range,No Score,962444000
2019-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2019-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
2019-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
